"rep","mesh_cfg","mesh_n","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
1,"Coarse",621,262,1.71000000000004,-2.01586832677173,0.235799784370118,-2.47802741169947,-1.55370924184399,6.6030718694605,1.73373533963076,13.9637886620693,0.846342184856702,0.348320344139671,1.28046964305919
1,"Standard (main study)",2340,262,4.53000000000065,-1.91740259411822,0.251345702124939,-2.41003111795203,-1.42477407028441,2.92590372758068,1.19347971255989,5.24196486097108,0.80264007851182,0.48395778182292,1.0699985612207
1,"Fine + extended boundary",9230,262,22.8599999999997,-1.90257428552346,0.248317930026948,-2.38926848509181,-1.4158800859551,1.69230101208487,0.920149640904357,2.62403828075093,0.879678929877874,0.608796535958043,1.11016882864739
2,"Coarse",621,356,1.59000000000015,-3.11084789820086,0.307939025296417,-3.7143972972162,-2.50729849918551,6.16067869401705,2.32936542312494,11.2985526735803,1.30499408423278,0.477261409829459,2.05094137558986
2,"Standard (main study)",2340,356,4.36000000000058,-2.80221039551836,0.316238244660461,-3.42202596558703,-2.18239482544969,4.2505799690105,1.85153395726423,7.35392705216149,1.14101173737451,0.556468999155202,1.66282847760144
2,"Fine + extended boundary",9230,356,21.54,-2.67979511004003,0.324253898529762,-3.31532107300507,-2.04426914707499,3.36768873928527,1.5342554028765,5.73193937558019,1.10428846420405,0.610813175460688,1.54599776498368
3,"Coarse",621,475,1.47000000000025,-3.8258237124924,0.369467349755376,-4.54996641147641,-3.1016810135084,3.54153681527841,1.6663818779773,5.90785574479323,1.20583070503103,0.588777307777917,1.75849902823381
3,"Standard (main study)",2340,475,4.32999999999993,-3.07219698361573,0.351998325922993,-3.76210102504319,-2.38229294218828,2.35453546223554,1.41689780701643,3.45128544339125,1.07506892722888,0.705486269615839,1.40741058690812
3,"Fine + extended boundary",9230,475,20.7599999999993,-2.91259324044454,0.352250878375458,-3.60299227558304,-2.22219420530604,1.88936286474091,1.20706674566713,2.67069100757169,1.10709264662441,0.776785575713199,1.40453094401629
4,"Coarse",621,308,1.72999999999956,-3.2062534020151,0.36335928071985,-3.91842450567438,-2.49408229835581,5.64796107915979,2.48566188851364,9.66214937545018,1.51899242964776,0.634572642834545,2.30268615734607
4,"Standard (main study)",2340,308,4.52999999999975,-2.802582417965,0.370961903228292,-3.52965438792888,-2.07551044800111,4.16258898637482,1.98132964565723,6.88539911163102,1.38302786825608,0.705394179826315,1.98436302916283
4,"Fine + extended boundary",9230,308,20.5899999999992,-2.71183768178431,0.382103134859098,-3.46074606448799,-1.96292929908063,3.41117810669403,1.63461261513792,5.63729686892766,1.35846610759509,0.754722381123457,1.89646283189803
5,"Coarse",621,293,1.73999999999978,-1.93910142483323,0.25843402929119,-2.44562281462353,-1.43258003504292,2.80591205385507,1.48081098074908,4.40014773671824,0.856980519304378,0.526294814488255,1.14832893467202
5,"Standard (main study)",2340,293,4.43000000000029,-1.84029242355905,0.270819881267781,-2.37108963714132,-1.30949520997679,2.39763043879086,1.36605567659584,3.61846927811765,0.959679378727184,0.624038027182094,1.25766215605772
5,"Fine + extended boundary",9230,293,22.1500000000005,-1.85862916980718,0.270883405104052,-2.3895508878207,-1.32770745179367,1.89464340170291,1.11890800632898,2.80255395805095,1.00332911339679,0.70192465949936,1.27055921393758
6,"Coarse",621,227,1.80000000000018,-2.28865471805757,0.236700146457017,-2.75257848024868,-1.82473095586646,3.42539788406568,1.32160793680655,6.15187757821628,0.607029944241035,0.285912167166406,0.876268832259828
6,"Standard (main study)",2340,227,4.3100000000004,-2.20710884059675,0.248776205359951,-2.69470124331279,-1.7195164378807,2.60645290104231,1.1833028345397,4.37493472900939,0.676155570090596,0.365678575223975,0.936449726256099
6,"Fine + extended boundary",9230,227,21.3400000000001,-2.19646993739888,0.256983640855872,-2.70014861809237,-1.69279125670539,2.13604248098517,1.01558456075341,3.51218327953179,0.72765989224456,0.42280865112146,0.981859777737334
7,"Coarse",621,437,1.55000000000018,-3.17604170649768,0.301888230194907,-3.76773176503623,-2.58435164795912,3.71572047715222,1.68195729019889,6.28726468735581,0.984960580408621,0.506959378164831,1.40871118756263
7,"Standard (main study)",2340,437,4.53999999999996,-2.73234291175506,0.2995577714036,-3.31946535499519,-2.14522046851492,2.89192689549514,1.52437114006794,4.55582717577087,0.962982940236907,0.580154777603952,1.30467150607735
7,"Fine + extended boundary",9230,437,22.9400000000005,-2.6512769682781,0.30118893543597,-3.24159643427456,-2.06095750228164,2.3377170915473,1.29212324622789,3.59588844289871,0.962122117837066,0.626964950486579,1.26253695498546
8,"Coarse",621,354,1.67999999999938,-2.74074570485454,0.270360600334702,-3.27064274434918,-2.2108486653599,3.27581627482489,1.56180829174133,5.40363310827489,0.809133569498632,0.44671237296522,1.12552354467024
8,"Standard (main study)",2340,354,4.14999999999964,-2.486389444447,0.277235125447974,-3.02976030557448,-1.94301858331953,2.48093074388847,1.36849445744245,3.80711567373576,0.84169012415839,0.531533740817434,1.11403633651846
8,"Fine + extended boundary",9230,354,22.75,-2.4263043571105,0.2810458161097,-2.97714403469118,-1.87546467952983,1.97599598345717,1.1442344209366,2.95433846358134,0.879317257683799,0.597208352960471,1.12762950193873
9,"Coarse",621,354,1.64999999999964,-3.95806115513993,0.436097674018782,-4.81279688995843,-3.10332542032142,5.76211081283574,2.46892802630761,9.9100222844918,1.96391048118997,0.702678716565215,3.07081788778746
9,"Standard (main study)",2340,354,4.44000000000051,-2.87944964108538,0.393695744205385,-3.65107912059463,-2.10782016157614,3.62353236688898,1.90550818956708,5.71270323530616,1.42891757426497,0.787614337659035,2.00016860304827
9,"Fine + extended boundary",9230,354,20.1999999999998,-2.70132160093039,0.398685117795565,-3.48273007298181,-1.91991312887897,2.90042146085353,1.61361380187973,4.44389042691493,1.40932900376567,0.857255990739868,1.90280217793681
10,"Coarse",621,157,1.46000000000004,-1.79601153683502,0.245782592210449,-2.2777365655944,-1.31428650807565,4.50026806602314,1.48678611936949,8.5773413362414,0.730079476783281,0.314209430396339,1.07151173880257
10,"Standard (main study)",2340,157,4.15999999999985,-1.75291195687983,0.25901271221627,-2.26056754436175,-1.2452563693979,2.99505366586766,1.21558413220668,5.2823146983007,0.793613083043214,0.414589271770757,1.10352407871717
10,"Fine + extended boundary",9230,157,22.3800000000001,-1.71025147886893,0.262387179541622,-2.22452090077555,-1.1959820569623,2.18978609865374,0.954733340583331,3.74939380659947,0.858318408955094,0.501627682750777,1.14945284384585
11,"Coarse",621,209,1.76999999999953,-1.84563881494058,0.228221323408682,-2.29294438932567,-1.3983332405555,2.35846829389182,1.12456363961721,3.85815224042772,0.647503178975189,0.358321903159391,0.889015448844426
11,"Standard (main study)",2340,209,4.60999999999967,-1.83102085623374,0.248398650176671,-2.31787326438838,-1.3441684480791,2.00154951019231,1.08778552618963,3.07921119986787,0.796179320755714,0.481721433295226,1.0642055477969
11,"Fine + extended boundary",9230,209,24.6300000000001,-1.87074335166849,0.255900309568999,-2.37229874205638,-1.3691879612806,1.62980977059177,0.911930944400555,2.46959138623956,0.878097922043518,0.572152605867313,1.13927991032961
12,"Coarse",621,502,1.75,-2.62941991148577,0.265686702320622,-3.15015627920541,-2.10868354376614,5.89155779581597,2.43932399629619,10.3579096114168,1.15515742835661,0.475538241246666,1.75848559718499
12,"Standard (main study)",2340,502,3.88999999999942,-2.3441729852822,0.276564583689184,-2.88622960871232,-1.80211636185209,4.49527707714881,1.94719644299835,7.76794816007952,1.10776814242626,0.530643417369712,1.6203692505863
12,"Fine + extended boundary",9230,502,20.7200000000003,-2.29762292409732,0.285918234168379,-2.85801236559064,-1.73723348260401,3.47235938967737,1.50644025713811,6.00909213595467,1.07920710110955,0.580271579062713,1.52280626434315
13,"Coarse",621,236,1.76000000000022,-1.62447026510618,0.250678838782361,-2.11579176080593,-1.13314876940643,4.79184106746622,1.77867669631903,8.77183819603099,0.931268589591338,0.403288922750591,1.38899363519677
13,"Standard (main study)",2340,236,4,-1.63835483714514,0.264695401388351,-2.15714829073968,-1.1195613835506,3.33229531799391,1.41084243296751,5.78984454783214,0.958514808747897,0.513329000024231,1.34207635232147
13,"Fine + extended boundary",9230,236,22.1599999999999,-1.66682470984715,0.263612960748667,-2.18349661877251,-1.15015280092179,2.4724034272272,1.1459366727217,4.14882476802788,0.966400647606884,0.590479916147322,1.28988975674882
14,"Coarse",621,193,1.46000000000004,-1.96399761444429,0.22049631037516,-2.39616244150357,-1.53183278738501,3.43233088959869,0.763756567299689,7.61569110672189,0.558585709886538,0.259781803093884,0.801331185890146
14,"Standard (main study)",2340,193,4.78999999999996,-1.87944593649285,0.229966361524502,-2.33017172273659,-1.42872015024911,1.60734252111818,0.823655235375885,2.55060546257868,0.70181894556151,0.418753178531045,0.933259627889048
14,"Fine + extended boundary",9230,193,28.6400000000003,-1.85481725709478,0.234193800139632,-2.31382867077103,-1.39580584341853,1.2391529781372,0.726821109919157,1.82938140694894,0.827170423014123,0.542358836312256,1.06549850989852
15,"Coarse",621,260,1.42999999999938,-2.09854203009117,0.244750816372646,-2.57824481536834,-1.61883924481401,3.43117329635652,1.53458891131036,5.83693853927355,0.755703389410894,0.392886927323298,1.07013665694981
15,"Standard (main study)",2340,260,4.76000000000022,-2.02441368288356,0.258336252841151,-2.53074343435325,-1.51808393141387,2.51472058283541,1.28089846036494,4.02068146246923,0.829671676352167,0.492810540366566,1.12184975869945
15,"Fine + extended boundary",9230,260,22.4899999999998,-2.01194915807103,0.261882701772381,-2.52522982171894,-1.49866849442312,1.95699341087607,1.05098281165441,3.04169548434586,0.876790753629834,0.570119123406272,1.14248459744643
16,"Coarse",621,257,1.5600000000004,-2.43127797348886,0.301822304860857,-3.02283882074701,-1.83971712623071,4.01577997925097,1.61996044973583,7.12314731825115,1.07077011125979,0.480900811169497,1.59023493762398
16,"Standard (main study)",2340,257,4.42000000000007,-2.22641343478339,0.306412747852662,-2.82697138497856,-1.62585548458822,2.88387173538578,1.43731129169432,4.65900289945221,1.0512891276327,0.607624415349571,1.44221620550072
16,"Fine + extended boundary",9230,257,21.6100000000006,-2.16115458293485,0.305906193255323,-2.76071970436303,-1.56158946150666,2.23315049235738,1.18841604951125,3.4904075082887,1.06160632754275,0.683986533724039,1.39351215920152
17,"Coarse",621,296,1.64999999999964,-2.31840152911584,0.274097941570416,-2.85562362283042,-1.78117943540126,3.77264463337464,1.5979972749786,6.58014199687948,0.941151793666104,0.45599985192748,1.37136236315973
17,"Standard (main study)",2340,296,4.10999999999967,-2.02605168358721,0.269418360235362,-2.55410196642236,-1.49800140075207,2.84876886127145,1.44753677055214,4.56207016555204,0.916521890454542,0.543909085719665,1.24578397871745
17,"Fine + extended boundary",9230,296,20.7700000000004,-1.94822643935266,0.267288911488237,-2.47210307933651,-1.4243497993688,2.34603167750016,1.22901293009984,3.70015487896875,0.924744142102291,0.593729654698642,1.21685865799839
18,"Coarse",621,371,1.67000000000007,-2.35216974692335,0.327132988218471,-2.99333862198652,-1.71100087186018,5.51689881915747,2.555813175992,9.27125217630964,1.37385324157003,0.682912515523717,1.99128391247339
18,"Standard (main study)",2340,371,4.60999999999967,-2.14892428635634,0.347637906869809,-2.83028206348205,-1.46756650923062,4.0436005994117,2.06854056600957,6.47286917798461,1.35773231936086,0.768864831750801,1.88295783911183
18,"Fine + extended boundary",9230,371,20.6900000000005,-2.15694188755718,0.357445815673979,-2.85752281270272,-1.45636096241164,3.15073833126991,1.66914363852942,4.96257206954208,1.35356143133044,0.829775250694799,1.82283643997469
19,"Coarse",621,325,1.79999999999927,-2.23050849459463,0.255593010744599,-2.73146159035421,-1.72955539883506,3.26984745837554,1.56239881472749,5.37658947332376,0.841929695686932,0.460476774279534,1.17546397815202
19,"Standard (main study)",2340,325,4.51000000000022,-2.0932413837204,0.258414307950308,-2.59972412039285,-1.58675864704796,2.38367609233965,1.29710528210447,3.6794505812765,0.871733429494654,0.555527644527124,1.14948426323208
19,"Fine + extended boundary",9230,325,21.2600000000002,-2.0702875056222,0.255618083125452,-2.57128974234525,-1.56928526889914,1.80942065187841,1.02790638959129,2.72827744162698,0.904273595772141,0.626724371960648,1.14745721849413
20,"Coarse",621,279,1.65999999999985,-2.14609992943223,0.246439813826085,-2.62911308888811,-1.66308676997634,3.67351100725784,1.63645603051773,6.26392173061697,0.802559064672127,0.4170406696676,1.13873352631633
20,"Standard (main study)",2340,279,4.52000000000044,-2.00963673498667,0.252522861392429,-2.50457244858883,-1.51470102138451,2.73481990493548,1.38773927372007,4.38653023753478,0.837019256962385,0.504675541420799,1.12530971714524
20,"Fine + extended boundary",9230,279,22.9300000000003,-1.97497916171346,0.254583950634217,-2.47395453599845,-1.47600378742847,2.17057527167168,1.1571145906934,3.39769291883352,0.87360423978092,0.568956938014559,1.13649929125938
21,"Coarse",621,223,1.75,-2.17827032925259,0.233526027380716,-2.63597293237151,-1.72056772613367,2.52769146340852,1.03077132724218,4.44096664144349,0.611828984287976,0.314166749947655,0.864310955337896
21,"Standard (main study)",2340,223,4.5600000000004,-2.12945629244652,0.248100835917967,-2.61572499538002,-1.64318758951302,1.99330492162209,1.00091868447642,3.19736727345863,0.714763747038327,0.4270443541329,0.961486325294463
21,"Fine + extended boundary",9230,223,21.8299999999999,-2.11899675549585,0.250948856315731,-2.6108474758362,-1.6271460351555,1.61230806426478,0.858235980584809,2.51222803614961,0.765627127345373,0.497070627718233,0.99559278245418
22,"Coarse",621,346,1.57999999999993,-2.54336786239182,0.280525775799042,-3.0931882796931,-1.99354744509054,3.13089863201319,1.55759715049187,5.06433430285579,0.907826317733436,0.506320002720103,1.26270968763287
22,"Standard (main study)",2340,346,4.40999999999985,-2.29269264879545,0.282673186720286,-2.84672191416238,-1.73866338342852,2.35376454437548,1.35991920545762,3.52836044182599,0.941394433363021,0.609456544916417,1.2372724904657
22,"Fine + extended boundary",9230,346,21.7299999999996,-2.22876809578301,0.281845738119216,-2.78117559169278,-1.67636059987324,1.86561229972099,1.13077124527777,2.71697525465819,0.978249957989678,0.679578047641506,1.24360517836397
23,"Coarse",621,211,1.64000000000033,-1.82663391819122,0.288751069962338,-2.3925756158148,-1.26069222056763,5.05656352820413,2.16243991158875,8.78499947681548,1.06496774939512,0.532251439823635,1.53392349277193
23,"Standard (main study)",2340,211,3.73000000000047,-1.80124884278673,0.300372076024179,-2.38996729375565,-1.21253039181781,3.73018709809157,1.66021190781233,6.35405535231778,1.06260478312009,0.605686292083326,1.46105060552148
23,"Fine + extended boundary",9230,211,23.8500000000004,-1.81736107028446,0.299747317118446,-2.40485501629912,-1.2298671242698,2.81711684260259,1.26015338885733,4.79722149625659,1.05507121070846,0.66642090993363,1.39286990091831
24,"Coarse",621,362,1.5,-2.14717733815532,0.233227383403658,-2.60429460983501,-1.69006006647564,4.97128671737669,1.96731162335748,8.93306595821465,0.832037731178297,0.379922547167682,1.23134584693015
24,"Standard (main study)",2340,362,4.01999999999953,-2.05054759977386,0.24358406201217,-2.52796358852569,-1.57313161102204,3.84799732172761,1.6511743275136,6.67309159649014,0.835865496084376,0.444553958579642,1.17778082179013
24,"Fine + extended boundary",9230,362,19.8800000000001,-2.06266921065139,0.250205506692816,-2.55306299250291,-1.57227542879988,3.04627851035479,1.32124433150432,5.26288802038922,0.833413898277748,0.490041366047475,1.13142632741224
25,"Coarse",621,394,1.80000000000018,-3.11133067188323,0.303726856694441,-3.7066243721419,-2.51603697162457,3.50393607920516,1.54519452453918,6.00665459667268,1.02495797974918,0.479147939295313,1.50924704627055
25,"Standard (main study)",2340,394,4.44000000000051,-2.67784222484993,0.30194600238131,-3.26964551479315,-2.08603893490672,2.41963866580381,1.36703772226701,3.66616203757752,0.984490542907043,0.61384764851013,1.31305794185579
25,"Fine + extended boundary",9230,394,21.0699999999997,-2.55156314922218,0.301021058517296,-3.14155358250421,-1.96157271594016,1.89814626226151,1.15305319260508,2.76219581033522,1.01573936871918,0.696322070190651,1.30057441283017
26,"Coarse",621,417,1.5600000000004,-2.9951231127847,0.335687750926169,-3.65305901465124,-2.33718721091816,4.09963922683908,1.98214487718124,6.76696880651135,1.17858699384095,0.6137665804616,1.6863098020973
26,"Standard (main study)",2340,417,4.22999999999956,-2.56633307990629,0.340313214536631,-3.23333472386114,-1.89933143595144,2.78498105221377,1.58551885905657,4.21809063110679,1.12966982898413,0.715300517864571,1.50197943059554
26,"Fine + extended boundary",9230,417,21.3299999999999,-2.47388072221128,0.34145735937103,-3.14312484883465,-1.80463659558792,2.17436741935105,1.31600544094442,3.17822475082379,1.14669674462093,0.784605212900119,1.47190937041766
27,"Coarse",621,229,1.57999999999993,-2.32641660171898,0.345250632722526,-3.0030954074948,-1.64973779594316,5.14240761079391,2.08695760638663,9.07616757647337,1.35170675344236,0.593394081305931,2.0194166846927
27,"Standard (main study)",2340,229,4.59000000000015,-2.1325122426571,0.347595705388595,-2.81378730639954,-1.45123717891466,3.87917039284426,1.72324314070391,6.62412926659379,1.28256131496192,0.670110866835458,1.8271575564057
27,"Fine + extended boundary",9230,229,23.0799999999999,-2.0706063776656,0.343419104435701,-2.74369545396257,-1.39751730136862,3.13994439158778,1.43228724853537,5.32246879170554,1.23422781449792,0.721684035742053,1.69276269375625
28,"Coarse",621,252,1.51000000000022,-1.80416330487247,0.276259166300482,-2.34562132122048,-1.26270528852446,5.84171533239204,2.32120893890108,10.484694672215,1.11876318226563,0.514047920845145,1.65716237356607
28,"Standard (main study)",2340,252,4.32999999999993,-1.65662351132157,0.280934639067279,-2.20724528590319,-1.10600173673994,4.64286581703131,1.94583154358591,8.12983669790282,1.09347434105316,0.558064559286868,1.56687158656362
28,"Fine + extended boundary",9230,252,19.0100000000002,-1.63896546883872,0.281267800714159,-2.19024022824926,-1.08769070942818,4.00805485169826,1.60111598906814,7.14802689162241,1.08326806783047,0.572716333975939,1.53302608442255
29,"Coarse",621,176,1.69000000000051,-2.34053938144572,0.31894448824851,-2.96565909148036,-1.71541967141109,3.67881811497677,1.41798134524695,6.61785128502468,0.992953639896389,0.458386308953667,1.45490375300613
29,"Standard (main study)",2340,176,4.02000000000044,-2.22097785497361,0.33529661014359,-2.87814713499342,-1.56380857495381,2.90058984154808,1.33638029127672,4.85340246999617,1.06443723006789,0.576352209287854,1.48835218764854
29,"Fine + extended boundary",9230,176,21.4800000000005,-2.20331648050991,0.339626257501155,-2.8689717134163,-1.53766124760352,2.36502302234644,1.14357729282295,3.8717740592677,1.08800534250254,0.644859046419915,1.47215948910394
30,"Coarse",621,286,1.73999999999978,-3.54651035455955,0.407940066327357,-4.34605819241205,-2.74696251670705,7.05363141518409,3.03707651632198,12.1736307881207,1.96420112607681,0.796695456030157,2.9981627682844
30,"Standard (main study)",2340,286,4.64000000000033,-2.9772084374899,0.415009500433035,-3.79061211158061,-2.16380476339919,4.15499566770181,1.99389420331681,6.81771054064865,1.58970898220453,0.850386870200081,2.23943116409647
30,"Fine + extended boundary",9230,286,23.4800000000005,-2.70883207247084,0.408876452787294,-3.51021519406043,-1.90744895088125,3.01180610291714,1.48690914930584,4.90795300050144,1.50406670977793,0.908323678956952,2.03675778689043
31,"Coarse",621,325,1.63000000000011,-3.48287106596216,0.413790776601854,-4.29388608523665,-2.67185604668766,4.74893771092277,1.93494112237418,8.41553963711214,1.56604516792086,0.619999111193096,2.41127215637659
31,"Standard (main study)",2340,325,4.57999999999993,-2.71791422878578,0.386501939472022,-3.47544411010583,-1.96038434746574,3.22521497820273,1.67907412173572,5.11991975950276,1.28445223100413,0.735826636396705,1.7759548375137
31,"Fine + extended boundary",9230,325,21.5099999999993,-2.55530130588587,0.385026483292956,-3.30993934623418,-1.80066326553756,2.61735984295675,1.44048050737727,4.03388566510722,1.26894858946876,0.791013986558021,1.69658595583735
32,"Coarse",621,182,1.60000000000036,-1.96768219236983,0.256903269191578,-2.47120334749592,-1.46416103724374,3.00153637886158,1.17744044411306,5.37537466292796,0.777528021249045,0.373027305455764,1.12140005853846
32,"Standard (main study)",2340,182,4.6899999999996,-1.934320285821,0.274761726830844,-2.47284337473948,-1.39579719690251,2.22301508018018,1.10495075595387,3.59049191908955,0.896941914794565,0.517369136575625,1.22164989216796
32,"Fine + extended boundary",9230,182,22.75,-1.91006139064421,0.278279862803753,-2.45547989936231,-1.36464288192611,1.74193288035343,0.928522535341648,2.71486801468937,0.972191147019688,0.618497166479641,1.27334916675634
33,"Coarse",621,217,1.56999999999971,-1.99432428653367,0.263895973730859,-2.51155089071128,-1.47709768235605,3.28555941388636,1.50520532340103,5.50785689797639,0.844942305199069,0.449229176372125,1.18794426957251
33,"Standard (main study)",2340,217,4.27999999999884,-1.9249522862647,0.275081641048327,-2.4641023955276,-1.3858021770018,2.54693481621415,1.31737556683145,4.03184326347006,0.910740912473791,0.551252411401668,1.22235477152455
33,"Fine + extended boundary",9230,217,20.4600000000009,-1.89599652194318,0.276683948384961,-2.43828709587805,-1.35370594800832,2.06532942223556,1.09982828798647,3.22258297969593,0.953606083695816,0.62014267258851,1.24153917464071
